	mzmed
0	119.947089148157
1	129.97774150376
2	133.992224919333
3	134.007126463422
4	139.03973817651698
5	146.965641329256
6	158.97807962990498
7	159.979523582355
8	162.982727543766
9	164.984078896319
10	165.040596904389
11	165.978648565106
12	166.98126947065902
13	167.974542153836
14	168.97757786961202
15	173.030012831721
16	174.001475758301
17	174.955617901783
18	180.899322497559
19	180.97256553377701
20	181.07123362812
21	190.927627665868
22	195.068475156247
23	197.96212800063302
24	204.08746031883203
25	204.123077948326
26	206.971763699893
27	207.01111048665402
28	207.97518070127103
29	210.990953724645
30	214.95213405305802
31	215.003835539453
32	223.02715796426497
33	226.96469970209202
34	227.20023065087503
35	227.966181247029
36	228.203642810371
37	228.96307791040402
38	229.915004608884
39	233.153227400608
40	233.965096157093
41	235.92466274651298
42	236.104261431665
43	237.221053412315
44	239.058377364683
45	239.065739195176
46	239.200128496253
47	240.05906712083697
48	240.203535228476
49	240.90942825898898
50	240.90939156151
51	241.21582745826802
52	242.219232758561
53	242.94190218427002
54	244.962155859078
55	246.959113801648
56	248.07882980922
57	248.959111615246
58	249.14801956212298
59	249.962560756974
60	250.95550680944697
61	250.96349388192996
62	251.200030387695
63	252.203434389444
64	252.995173358608
65	253.215666624619
66	254.21909180655499
67	255.231443552743
68	255.350116897904
69	255.38264662157601
70	255.42920647024
71	255.51099703261102
72	255.539369571174
73	255.614651085232
74	255.743215667047
75	256.234879823547
76	257.237822557867
77	258.240524279821
78	259.24332019371496
79	260.939618232137
80	261.22122210606096
81	262.224641262761
82	262.974690105461
83	263.163539839221
84	263.236888735205
85	263.875870456371
86	264.240276205069
87	265.146384619533
88	265.21564149510505
89	265.25223034672996
90	265.873419332901
91	265.948950399
92	266.219029268563
93	267.156014643049
94	267.23159257285
95	268.23499710592097
96	269.21056305939
97	269.238837581335
98	269.247217525469
99	269.27843388127496
100	270.214000585313
101	270.250608311561
102	270.281818272441
103	271.22619659286596
104	271.226217776895
105	271.25355604617994
106	271.285173254057
107	272.229626023736
108	272.229613320223
109	272.29052817207804
110	272.957274807581
111	273.28945248418
112	273.95857028307597
113	274.001893784476
114	274.955612091491
115	275.163615016791
116	275.957163636134
117	277.179280389178
118	277.215638711981
119	277.215639142651
