,adduct,lm_id
0,M+H,
1,M+H,
2,M+H,
3,M+H,
4,M+H,
5,M+H,
6,M+H,
7,M+H,
8,M+H,
9,M+H,
10,M+H,
11,M+H,
12,M+H,
13,M+H,
14,M+H,
15,M+H,
16,M+H,
17,M+H,
18,M+H,
19,M+H,
20,M+H,
21,M+H,
22,M+H,
23,M+H,
24,M+H,
25,M+H,LMFA07070049
25,M+H,LMFA07070050
25,M+H,LMFA07070060
26,M+H,
27,M+H,
28,M+H,
29,M+H,
30,M+H,
31,M+H,
32,M+H,
33,M+H,
34,M+H,LMFA01030048
34,M+H,LMFA01030913
34,M+H,LMFA07011013
34,M+H,LMFA07010605
34,M+H,LMFA01030047
34,M+H,LMFA01030770
34,M+H,LMFA01030771
34,M+H,LMFA01030051
34,M+H,LMFA01020108
34,M+H,LMFA01030050
34,M+H,LMFA07010814
34,M+H,LMFA07010791
34,M+H,LMFA07040050
34,M+H,LMFA07040051
34,M+H,LMFA07010718
34,M+H,LMFA01020132
34,M+H,LMFA07040045
34,M+H,LMFA01030246
34,M+H,LMFA01030247
34,M+H,LMFA01030248
34,M+H,LMFA01030250
34,M+H,LMFA01030249
34,M+H,LMFA07010817
34,M+H,LMFA07010847
34,M+H,LMFA07011011
34,M+H,LMFA07010229
34,M+H,LMFA07010248
34,M+H,LMFA07010227
34,M+H,LMFA07010222
34,M+H,LMFA07010245
34,M+H,LMFA07010244
34,M+H,LMFA07010243
34,M+H,LMFA07010223
34,M+H,LMFA07010242
34,M+H,LMFA07010241
34,M+H,LMFA07010224
34,M+H,LMFA07010514
34,M+H,LMFA07010225
34,M+H,LMFA07010175
34,M+H,LMFA07010226
34,M+H,LMFA07010260
34,M+H,LMFA06000189
35,M+H,
36,M+H,
37,M+H,
38,M+H,
39,M+H,LMPR0103190013
39,M+H,LMFA07010705
40,M+H,
41,M+H,
42,M+H,
43,M+H,LMFA06000205
43,M+H,LMFA05000201
43,M+H,LMFA06000195
43,M+H,LMFA06000220
43,M+H,LMFA05000198
43,M+H,LMFA06000221
43,M+H,LMFA06000219
43,M+H,LMFA05000202
43,M+H,LMFA06000222
43,M+H,LMFA06000200
43,M+H,LMFA06000225
43,M+H,LMFA06000094
43,M+H,LMFA06000095
43,M+H,LMFA06000201
43,M+H,LMFA06000202
43,M+H,LMFA06000223
43,M+H,LMFA06000218
43,M+H,LMFA06000227
43,M+H,LMFA06000203
43,M+H,LMFA06000204
43,M+H,LMFA06000224
43,M+H,LMFA06000093
44,M+H,
45,M+H,
46,M+H,LMFA01030582
46,M+H,LMFA07010631
46,M+H,LMFA07010625
46,M+H,LMFA07010617
46,M+H,LMFA07010554
46,M+H,LMFA07010615
46,M+H,LMFA01030581
46,M+H,LMFA07010744
46,M+H,LMFA01030790
46,M+H,LMFA07010279
46,M+H,LMFA07010538
46,M+H,LMFA07010270
46,M+H,LMFA07010269
46,M+H,LMFA07010894
46,M+H,LMPR0103530001
46,M+H,LMFA07010278
46,M+H,LMFA07010899
46,M+H,LMFA07010277
46,M+H,LMFA07010821
46,M+H,LMPR0103710001
46,M+H,LMFA07010526
46,M+H,LMPR0103800001
47,M+H,
48,M+H,
49,M+H,
50,M+H,
51,M+H,LMFA07010281
51,M+H,LMFA07010276
51,M+H,LMFA07010275
51,M+H,LMFA07010274
51,M+H,LMFA07010273
51,M+H,LMFA07010272
51,M+H,LMFA07011014
51,M+H,LMFA07010553
51,M+H,LMFA01030053
51,M+H,LMFA07010266
51,M+H,LMFA07010265
51,M+H,LMFA07010264
51,M+H,LMFA07010263
51,M+H,LMFA01030580
51,M+H,LMFA01030855
51,M+H,LMFA07010665
51,M+H,LMFA07010667
51,M+H,LMFA01030259
51,M+H,LMFA07010914
51,M+H,LMFA07010267
51,M+H,LMFA07010268
51,M+H,LMFA12000260
51,M+H,LMFA01020109
51,M+H,LMFA01030052
51,M+H,LMFA07010552
51,M+H,LMFA07010551
51,M+H,LMFA07010550
51,M+H,LMFA07010536
51,M+H,LMFA07010532
51,M+H,LMFA12000262
51,M+H,LMFA07010797
51,M+H,LMFA07010818
51,M+H,LMFA01030866
51,M+H,LMFA07010493
51,M+H,LMFA07010490
51,M+H,LMFA07010669
51,M+H,LMFA07010819
52,M+H,
53,M+H,
54,M+H,
55,M+H,
56,M+H,
57,M+H,
58,M+H,LMPR0103050002
58,M+H,LMPR0103050004
58,M+H,LMPR0103890003
58,M+H,LMPR0103090002
58,M+H,LMPR0103590001
58,M+H,LMPR0103050013
58,M+H,LMPR0103190002
58,M+H,LMPR0103620001
59,M+H,
60,M+H,
61,M+H,
62,M+H,LMFA07010306
62,M+H,LMFA01030139
62,M+H,LMFA01030138
62,M+H,LMFA01030702
62,M+H,LMFA01030869
62,M+H,LMFA01030134
62,M+H,LMFA01030135
62,M+H,LMFA01030136
62,M+H,LMFA07010584
62,M+H,LMFA01030137
62,M+H,LMFA07010320
63,M+H,
64,M+H,
65,M+H,LMFA01030814
65,M+H,LMFA07010295
65,M+H,LMFA07010531
65,M+H,LMFA06000215
65,M+H,LMFA07010298
65,M+H,LMFA07010299
65,M+H,LMFA07010530
65,M+H,LMFA07010301
65,M+H,LMFA07010302
65,M+H,LMFA07010303
65,M+H,LMFA07010304
65,M+H,LMFA07010296
65,M+H,LMFA07010297
65,M+H,LMFA07010292
65,M+H,LMFA07010305
65,M+H,LMFA07010284
65,M+H,LMFA07010280
65,M+H,LMFA01030275
65,M+H,LMFA01030274
65,M+H,LMFA01030807
65,M+H,LMFA01030273
65,M+H,LMFA01030272
65,M+H,LMFA01030271
65,M+H,LMFA01030806
65,M+H,LMFA01030270
65,M+H,LMFA01030269
65,M+H,LMFA01030268
65,M+H,LMFA07010294
65,M+H,LMFA07010308
65,M+H,LMFA07010300
65,M+H,LMFA01030109
65,M+H,LMFA07010618
65,M+H,LMFA07010325
65,M+H,LMFA01030494
65,M+H,LMFA07010324
65,M+H,LMFA07010323
65,M+H,LMFA07010322
65,M+H,LMFA01030495
65,M+H,LMFA07010627
65,M+H,LMFA01030497
65,M+H,LMFA01030496
65,M+H,LMFA07010319
65,M+H,LMFA07010533
65,M+H,LMFA07010318
65,M+H,LMFA07010317
65,M+H,LMFA07010321
65,M+H,LMFA01140023
66,M+H,
67,M+H,LMFA07010816
67,M+H,LMFA01030055
67,M+H,LMFA07040055
67,M+H,LMFA01030808
67,M+H,LMFA01030854
67,M+H,LMFA01030057
67,M+H,LMFA01030058
67,M+H,LMFA07010494
67,M+H,LMFA07010285
67,M+H,LMFA07010492
67,M+H,LMFA07010491
67,M+H,LMFA07040032
67,M+H,LMFA07010286
67,M+H,LMFA01030266
67,M+H,LMFA01030267
67,M+H,LMFA07010307
67,M+H,LMFA01030056
67,M+H,LMFA07010287
67,M+H,LMFA07010316
67,M+H,LMFA01030894
67,M+H,LMFA07010537
67,M+H,LMFA07010315
67,M+H,LMFA07010314
67,M+H,LMFA07010313
67,M+H,LMFA07010309
67,M+H,LMFA07010312
67,M+H,LMFA07040054
67,M+H,LMFA01030054
67,M+H,LMFA07010311
67,M+H,LMFA07040052
67,M+H,LMFA07010310
67,M+H,LMFA07010515
67,M+H,LMFA01030893
67,M+H,LMFA07010288
67,M+H,LMFA07010283
67,M+H,LMFA01030262
67,M+H,LMFA01030263
67,M+H,LMFA01030264
67,M+H,LMFA01030766
67,M+H,LMFA07010289
67,M+H,LMFA01020141
67,M+H,LMFA01030261
67,M+H,LMFA01020142
67,M+H,LMFA01030260
67,M+H,LMFA07010291
67,M+H,LMFA01020133
67,M+H,LMFA01030265
67,M+H,LMFA07010293
67,M+H,LMFA07010290
67,M+H,LMFA01020140
68,M+H,
69,M+H,
70,M+H,
71,M+H,
72,M+H,
73,M+H,
74,M+H,
75,M+H,
76,M+H,
77,M+H,
78,M+H,
79,M+H,
80,M+H,LMPR0103500012
80,M+H,LMFA05000063
80,M+H,LMPR0103500011
81,M+H,
82,M+H,
83,M+H,LMPR0103520002
84,M+H,LMFA06000102
84,M+H,LMPR0103500015
84,M+H,LMFA05000065
84,M+H,LMFA06000243
84,M+H,LMPR0103500003
84,M+H,LMPR0103500004
85,M+H,
86,M+H,
87,M+H,
88,M+H,LMFA07010254
88,M+H,LMFA07010230
88,M+H,LMFA01030756
88,M+H,LMFA01030482
89,M+H,LMFA06000242
89,M+H,LMFA06000233
89,M+H,LMFA06000234
89,M+H,LMFA12000284
89,M+H,LMFA06000239
89,M+H,LMFA06000235
89,M+H,LMFA06000240
89,M+H,LMPR0103500010
89,M+H,LMFA12000288
89,M+H,LMFA05000216
89,M+H,LMFA12000287
89,M+H,LMFA06000101
89,M+H,LMFA06000241
90,M+H,
91,M+H,
92,M+H,
93,M+H,
94,M+H,LMFA07010340
94,M+H,LMFA07010334
94,M+H,LMFA01030483
94,M+H,LMFA01030484
94,M+H,LMFA07010619
94,M+H,LMFA01030485
94,M+H,LMFA01030486
94,M+H,LMFA07010341
94,M+H,LMFA01030487
94,M+H,LMFA07010555
94,M+H,LMFA07010335
95,M+H,
96,M+H,LMFA02010015
96,M+H,LMFA02010014
97,M+H,
98,M+H,LMFA01020383
98,M+H,LMFA01020266
98,M+H,LMFA01140007
98,M+H,LMFA01030480
98,M+H,LMFA01030481
98,M+H,LMFA01020385
98,M+H,LMFA01020384
98,M+H,LMFA01020382
98,M+H,LMFA01020204
98,M+H,LMFA07010499
98,M+H,LMFA07040053
98,M+H,LMFA12000267
98,M+H,LMFA07010496
98,M+H,LMFA07010495
98,M+H,LMFA01020268
98,M+H,LMFA01020267
98,M+H,LMFA07010501
98,M+H,LMFA01020203
98,M+H,LMFA07010336
98,M+H,LMFA01030060
98,M+H,LMFA01030286
98,M+H,LMFA01030283
98,M+H,LMFA12000265
98,M+H,LMFA01030907
98,M+H,LMFA01030287
98,M+H,LMFA01030288
98,M+H,LMFA01030289
98,M+H,LMFA07010557
98,M+H,LMFA01030282
98,M+H,LMFA01030856
98,M+H,LMFA01140026
98,M+H,LMFA01030059
98,M+H,LMFA01030285
98,M+H,LMFA07010672
98,M+H,LMFA07010332
98,M+H,LMFA07010333
98,M+H,LMFA07010668
98,M+H,LMFA07010666
98,M+H,LMFA07010339
98,M+H,LMFA07010338
98,M+H,LMFA07010337
98,M+H,LMFA01030284
99,M+H,
100,M+H,
101,M+H,
102,M+H,
103,M+H,LMFA01050272
103,M+H,LMFA01060105
103,M+H,LMFA01050192
103,M+H,LMFA01050271
103,M+H,LMFA01050106
103,M+H,LMFA01060104
103,M+H,LMFA01060057
103,M+H,LMFA01060056
103,M+H,LMFA01050270
103,M+H,LMFA01050193
103,M+H,LMFA01060058
103,M+H,LMFA01060052
103,M+H,LMFA01060055
103,M+H,LMFA01060050
103,M+H,LMFA01060054
103,M+H,LMFA01060053
103,M+H,LMFA01060101
103,M+H,LMFA01060051
104,M+H,LMFA01050272
104,M+H,LMFA01060105
104,M+H,LMFA01050192
104,M+H,LMFA01050271
104,M+H,LMFA01050106
104,M+H,LMFA01060104
104,M+H,LMFA01060057
104,M+H,LMFA01060056
104,M+H,LMFA01050270
104,M+H,LMFA01050193
104,M+H,LMFA01060058
104,M+H,LMFA01060052
104,M+H,LMFA01060055
104,M+H,LMFA01060050
104,M+H,LMFA01060054
104,M+H,LMFA01060053
104,M+H,LMFA01060101
104,M+H,LMFA01060051
105,M+H,
106,M+H,
107,M+H,
108,M+H,
109,M+H,
110,M+H,
111,M+H,
112,M+H,
113,M+H,
114,M+H,
115,M+H,LMPR0104120002
116,M+H,
117,M+H,LMFA05000688
117,M+H,LMFA05000664
117,M+H,LMFA05000662
117,M+H,LMPR0103450004
117,M+H,LMFA05000687
118,M+H,LMFA01030521
118,M+H,LMFA01030519
118,M+H,LMFA01030520
118,M+H,LMFA01030522
118,M+H,LMFA01030167
118,M+H,LMFA01030537
118,M+H,LMFA01030517
118,M+H,LMFA01030544
118,M+H,LMFA01030516
118,M+H,LMFA01030515
118,M+H,LMFA01030514
118,M+H,LMFA01030518
118,M+H,LMFA01030538
118,M+H,LMFA01030526
118,M+H,LMFA01030524
118,M+H,LMFA01030531
118,M+H,LMFA01030541
118,M+H,LMFA01030530
118,M+H,LMFA01030529
118,M+H,LMFA01030528
118,M+H,LMFA01030542
118,M+H,LMFA01030513
118,M+H,LMFA01030523
118,M+H,LMFA01030533
118,M+H,LMFA01030534
118,M+H,LMFA01030540
118,M+H,LMFA01030535
118,M+H,LMFA01030536
118,M+H,LMFA01030543
118,M+H,LMFA01030532
118,M+H,LMFA01030525
118,M+H,LMFA01030527
118,M+H,LMFA01030512
118,M+H,LMFA01030539
118,M+H,LMFA01030551
118,M+H,LMFA01030734
118,M+H,LMST02010050
118,M+H,LMFA01030813
118,M+H,LMFA01030511
118,M+H,LMFA01030735
118,M+H,LMST02010042
118,M+H,LMFA01140005
118,M+H,LMFA01030172
118,M+H,LMFA01030552
118,M+H,LMFA01030171
118,M+H,LMFA01030550
118,M+H,LMFA01030354
118,M+H,LMFA01030764
118,M+H,LMFA01030356
118,M+H,LMFA01030357
118,M+H,LMFA01030549
118,M+H,LMFA01030358
118,M+H,LMFA01030548
118,M+H,LMFA01030547
118,M+H,LMFA01030545
118,M+H,LMFA01030355
118,M+H,LMFA01030546
118,M+H,LMFA01030169
119,M+H,LMFA01030521
119,M+H,LMFA01030519
119,M+H,LMFA01030520
119,M+H,LMFA01030522
119,M+H,LMFA01030167
119,M+H,LMFA01030537
119,M+H,LMFA01030517
119,M+H,LMFA01030544
119,M+H,LMFA01030516
119,M+H,LMFA01030515
119,M+H,LMFA01030514
119,M+H,LMFA01030518
119,M+H,LMFA01030538
119,M+H,LMFA01030526
119,M+H,LMFA01030524
119,M+H,LMFA01030531
119,M+H,LMFA01030541
119,M+H,LMFA01030530
119,M+H,LMFA01030529
119,M+H,LMFA01030528
119,M+H,LMFA01030542
119,M+H,LMFA01030513
119,M+H,LMFA01030523
119,M+H,LMFA01030533
119,M+H,LMFA01030534
119,M+H,LMFA01030540
119,M+H,LMFA01030535
119,M+H,LMFA01030536
119,M+H,LMFA01030543
119,M+H,LMFA01030532
119,M+H,LMFA01030525
119,M+H,LMFA01030527
119,M+H,LMFA01030512
119,M+H,LMFA01030539
119,M+H,LMFA01030551
119,M+H,LMFA01030734
119,M+H,LMST02010050
119,M+H,LMFA01030813
119,M+H,LMFA01030511
119,M+H,LMFA01030735
119,M+H,LMST02010042
119,M+H,LMFA01140005
119,M+H,LMFA01030172
119,M+H,LMFA01030552
119,M+H,LMFA01030171
119,M+H,LMFA01030550
119,M+H,LMFA01030354
119,M+H,LMFA01030764
119,M+H,LMFA01030356
119,M+H,LMFA01030357
119,M+H,LMFA01030549
119,M+H,LMFA01030358
119,M+H,LMFA01030548
119,M+H,LMFA01030547
119,M+H,LMFA01030545
119,M+H,LMFA01030355
119,M+H,LMFA01030546
119,M+H,LMFA01030169
120,M+H,LMFA01030521
120,M+H,LMFA01030519
120,M+H,LMFA01030520
120,M+H,LMFA01030522
120,M+H,LMFA01030167
120,M+H,LMFA01030537
120,M+H,LMFA01030517
120,M+H,LMFA01030544
120,M+H,LMFA01030516
120,M+H,LMFA01030515
120,M+H,LMFA01030514
120,M+H,LMFA01030518
120,M+H,LMFA01030538
120,M+H,LMFA01030526
120,M+H,LMFA01030524
120,M+H,LMFA01030531
120,M+H,LMFA01030541
120,M+H,LMFA01030530
120,M+H,LMFA01030529
120,M+H,LMFA01030528
120,M+H,LMFA01030542
120,M+H,LMFA01030513
120,M+H,LMFA01030523
120,M+H,LMFA01030533
120,M+H,LMFA01030534
120,M+H,LMFA01030540
120,M+H,LMFA01030535
120,M+H,LMFA01030536
120,M+H,LMFA01030543
120,M+H,LMFA01030532
120,M+H,LMFA01030525
120,M+H,LMFA01030527
120,M+H,LMFA01030512
120,M+H,LMFA01030539
120,M+H,LMFA01030551
120,M+H,LMFA01030734
120,M+H,LMST02010050
120,M+H,LMFA01030813
120,M+H,LMFA01030511
120,M+H,LMFA01030735
120,M+H,LMST02010042
120,M+H,LMFA01140005
120,M+H,LMFA01030172
120,M+H,LMFA01030552
120,M+H,LMFA01030171
120,M+H,LMFA01030550
